SA2 Code,SA2 Label,Diabetes (%) All ages,Diabetes (%) 60 years and over,Diabetes (%) 70 years and over
316061444,Palmwoods,3.8,9.3,11.3
208011172,Hampton,3.4,9.4,11.3
208011171,Cheltenham - Highett (West),3.1,9.5,11.3
208011173,Sandringham - Black Rock,3.9,9.5,11.3
203031048,Clifton Springs,4.1,9.6,11.3
121031410,St Ives,3.8,9.9,11.3
601021007,Howrah - Tranmere,4.3,10.3,11.3
211021262,Warrandyte - Wonga Park,3.3,9,11.4
401021004,Aldgate - Stirling,3.8,9.3,11.4
214021378,Flinders,4.8,9.4,11.4
207011154,Kew East,3.2,9.5,11.4
121031409,Pymble,3.4,9.7,11.4
801091110,Torrens,3.8,9.8,11.4
309101269,Main Beach,5.3,9.8,11.4
206041124,Parkville,2.5,9.9,11.4
801091103,Hughes,3.7,9.9,11.4
801081098,Weston,3.8,10.1,11.4
114021288,Robertson - Fitzroy Falls,4.6,10.1,11.4
114021289,Southern Highlands,5,10.1,11.4
305041135,Paddington - Milton,2.4,8.8,11.5
401021003,Adelaide Hills,3.8,9.4,11.5
208041194,Malvern - Glen Iris,3.2,9.5,11.5
316011414,Buderim - South,3.6,9.5,11.5
202021028,Castlemaine Region,4.6,9.5,11.5
207011148,Balwyn North,3.5,9.6,11.5
801051124,Campbell,3.6,9.6,11.5
316061439,Beerwah,3.6,9.7,11.5
309101267,Benowa,3.7,9.7,11.5
601041024,Margate - Snug,3.2,9.8,11.5
601041026,Taroona - Bonnet Hill,4.1,9.9,11.5
801091104,Isaacs,4.9,10.2,11.5
316011416,Sippy Downs,3.4,10.4,11.5
209031214,Research - North Warrandyte,3.1,8.9,11.6
209031209,Eltham,3.2,8.9,11.6
207011149,Camberwell,3.4,9.5,11.6
601051032,South Hobart - Fern Tree,3.4,9.6,11.6
206041126,Southbank,2.1,9.7,11.6
401021007,Mount Barker,3.3,9.7,11.6
601051030,New Town,3.4,9.7,11.6
403031067,Blackwood,3.7,9.7,11.6
601051031,Sandy Bay,3.9,9.9,11.6
801091100,Curtin,3.7,10,11.6
601041022,Kingston - Huntingfield,3.5,10.1,11.6
801091099,Chifley,3.7,10.2,11.6
118011347,Woollahra,3.9,10.2,11.6
801091102,Garran,4.1,10.2,11.6
801081092,Duffy,3.6,10.4,11.6
801091105,Lyons (ACT),4,10.8,11.6
209031210,Hurstbridge,3,8.8,11.7
316011415,Mountain Creek,2.5,9.3,11.7
601051033,West Hobart,3.3,9.3,11.7
601051029,Mount Nelson - Dynnyrne,3.3,9.4,11.7
309051243,Currumbin Valley - Tallebudgera,3.5,9.4,11.7
316031425,Coolum Beach,3.5,9.4,11.7
316031428,Mooloolaba - Alexandra Headland,3.9,9.5,11.7
206041118,Docklands,2.3,9.6,11.7
316071547,Eumundi - Yandina,3.8,9.6,11.7
801051061,Watson,2.8,9.7,11.7
316061441,Glass House Mountains,3.8,9.9,11.7
118011346,Rose Bay - Vaucluse - Watsons Bay,3.8,10.1,11.7
217041477,Moyne - East,3.8,10.1,11.7
305031119,Albion,2.9,10.2,11.7
114021284,Bowral,5.5,10.6,11.7
209031215,Wattle Glen - Diamond Creek,2.8,8.9,11.8
403031065,Belair,4,9.5,11.8
601051028,Lenah Valley - Mount Stuart,3.5,9.6,11.8
206061135,Armadale,3.3,9.7,11.8
309011226,Burleigh Waters,3.8,10.1,11.8
124011449,Blackheath - Megalong Valley,4.9,10.1,11.8
801081091,Chapman,4.5,10.4,11.8
305041136,Red Hill (Qld),2.3,9.2,11.9
207011146,Ashburton (Vic.),3.1,9.7,11.9
403031069,Mitcham (SA),3.9,9.7,11.9
316031426,Marcoola - Mudjimba,4.1,9.8,11.9
309051244,Mudgeeraba - Bonogin,3.2,9.9,11.9
305031124,Hamilton (Qld),3.4,9.9,11.9
217031473,Colac Region,4.1,9.9,11.9
801051056,Hackett,3.5,10,11.9
309011224,Broadbeach Waters,3.9,10,11.9
118011344,Dover Heights,3.4,10.1,11.9
309021233,Elanora,3.9,10.1,11.9
403031066,Bellevue Heights,3.9,10.1,11.9
507041175,Applecross - Ardross,4,10.1,11.9
118011345,Paddington - Moore Park,3.1,10.2,11.9
801051055,Downer,3.2,10.2,11.9
316071545,Bli Bli,3.7,10.2,11.9
316021418,Buddina - Minyama,4.4,10.3,11.9
118011343,Double Bay - Bellevue Hill,3.9,10.4,11.9
114021287,Moss Vale - Berrima,4.3,10.7,11.9
601021008,Lindisfarne - Rose Bay,4.7,10.8,11.9
210021234,Riddells Creek,3.4,9.8,12
206041122,Melbourne,1.6,10,12
309011228,Mermaid Waters,3.8,10.2,12
316071546,Diddillibah - Rosemount,4.5,10.3,12
114021286,Mittagong,4.6,10.6,12
801081093,Fisher,3.9,10.7,12
601021006,Geilston Bay - Risdon,4.2,10.7,12
209031211,Kinglake,3,8.9,12.1
801051058,O'Connor (ACT),3.2,9.7,12.1
210021233,Macedon,3.8,9.8,12.1
309051245,Reedy Creek - Andrews,2.7,10,12.1
210021232,Gisborne,3.2,10.2,12.1
214021381,Mount Eliza,4,10.2,12.1
305031122,Clayfield,3.2,10.3,12.1
217041478,Moyne - West,4.2,10.4,12.1
316021423,Parrearra - Warana,4.3,10.4,12.1
316071548,Nambour,3.9,10.5,12.1
801081096,Stirling,4.4,10.5,12.1
209031213,Plenty - Yarrambat,3,9.3,12.2
305021118,Norman Park,2.5,9.4,12.2
208041195,Malvern East,3,9.8,12.2
124011450,Blaxland - Warrimoo - Lapstone,3.7,10.1,12.2
507041176,Bateman,3.6,10.2,12.2
202021030,Kyneton,4.1,10.2,12.2
211031268,Ringwood North,3.6,10.3,12.2
507041179,Bull Creek,4.2,10.4,12.2
601021005,Cambridge,4,10.6,12.2
801091108,Pearce,4.4,10.6,12.2
217041480,Warrnambool - South,4.2,10.8,12.2
801081097,Waramanga,3.9,10.9,12.2
305031128,Newstead - Bowen Hills,2.8,9.9,12.3
407011147,Strathalbyn Region,4.2,10,12.3
124011454,Springwood - Winmalee,3.7,10.1,12.3
305031123,Grange,2.7,10.2,12.3
309011227,Mermaid Beach - Broadbeach,3.6,10.2,12.3
128011605,Lilli Pilli - Port Hacking - Dolans Bay,3.7,10.3,12.3
305031121,Ascot,3.7,10.4,12.3
114021285,Hill Top - Colo Vale,3.4,10.5,12.3
316021424,Wurtulla - Birtinya,3.7,10.5,12.3
309081261,Robina,3.9,10.5,12.3
801091106,Mawson,4.1,10.7,12.3
211031451,Croydon - West,3.9,10.9,12.3
601021004,Bellerive - Rosny,5,11.2,12.3
211031265,Croydon Hills - Warranwood,3.2,10.1,12.4
506071147,South Perth - Kensington,3.6,10.1,12.4
210021235,Romsey,3.6,10.2,12.4
309021232,Currumbin Waters,3.9,10.4,12.4
507041177,Bicton - Palmyra,3.8,10.5,12.4
211031452,Croydon South,3.5,10.6,12.4
128011604,Cronulla - Kurnell - Bundeena,3.9,10.6,12.4
122031428,Frenchs Forest - Belrose,3.7,10.7,12.4
101061542,Yass Region,3.9,10.7,12.4
214021380,Mornington,4.7,10.8,12.4
217041479,Warrnambool - North,3.8,10.9,12.4
801081095,Rivett,4,11.1,12.4
305021114,Bulimba,2.8,9.7,12.5
507041180,Leeming,3.7,9.8,12.5
316081549,Noosa Hinterland,4.4,9.9,12.5
104021088,Korora - Emerald Beach,3.9,10,12.5
801051060,Turner,2.8,10.1,12.5
305031125,Hendra,3.4,10.2,12.5
124011453,Lawson - Hazelbrook - Linden,3.8,10.2,12.5
316021417,Aroona - Currimundi,4.1,10.7,12.5
205031090,Leongatha,4.3,10.7,12.5
214021383,Point Nepean,5.3,10.8,12.5
316021421,Golden Beach - Pelican Waters,5.5,10.8,12.5
507041181,Melville,3.9,10.9,12.5
506051140,Kalamunda - Maida Vale - Gooseberry Hill,4.7,11.3,12.5
305011105,Brisbane City,2.6,9.7,12.6
305031129,Wilston,2.7,10,12.6
206061137,South Yarra - East,2.6,10.2,12.6
314011382,Albany Creek,3.5,10.4,12.6
118011340,Bondi Beach - North Bondi,2.7,10.5,12.6
506071146,Manning - Waterford,3.7,10.5,12.6
801051050,Ainslie,3.9,10.5,12.6
304041103,The Gap,3.7,10.6,12.6
128011606,Woolaware - Burraneer,3.7,10.7,12.6
506071145,Como,3.7,10.7,12.6
407011146,Strathalbyn,4.5,10.7,12.6
124011455,Wentworth Falls,5,10.7,12.6
211031267,Ringwood East,3.6,10.9,12.6
507041178,Booragoon,4.2,10.9,12.6
309081259,Clear Island Waters,5,10.9,12.6
122031425,Cromer,3.9,11,12.6
403031070,Panorama,4.4,11.1,12.6
504021049,Chidlow,3.7,10,12.7
314011387,Samford Valley,3.6,10.1,12.7
201021011,Daylesford,4.9,10.1,12.7
505011080,Ocean Reef,3.7,10.2,12.7
505011078,Kingsley,3.9,10.2,12.7
305031120,Alderley,2.7,10.4,12.7
214021385,Somerville,3.6,10.4,12.7
405011111,Light,3.7,10.4,12.7
507041182,Murdoch - Kardinya,4.4,10.7,12.7
118011341,Bondi Junction - Waverly,3.3,10.9,12.7
112031550,Banora Point,5.1,11.1,12.7
309031240,Runaway Bay,5.7,11.2,12.7
304041100,Keperra,4,11.3,12.7
101041021,Broulee - Tomakin,5.6,11.3,12.7
301021013,Victoria Point,4.7,11.4,12.7
505011074,Heathridge - Connolly,3.3,10.1,12.8
505011083,Woodvale,3.6,10.1,12.8
305031126,Kelvin Grove - Herston,2,10.2,12.8
305011110,South Brisbane,2.6,10.2,12.8
211051285,Wandin - Seville,3.2,10.2,12.8
305011108,Kangaroo Point,3.4,10.2,12.8
505011079,Mullaloo - Kallaroo,3.7,10.3,12.8
401071024,Unley - Parkside,3.9,10.3,12.8
201021009,Bacchus Marsh Region,3.9,10.4,12.8
211031263,Bayswater North,3.1,10.5,12.8
801051051,Braddon,2.4,10.6,12.8
205031089,Korumburra,4.2,10.6,12.8
309091263,Ashmore,4.2,11,12.8
316021422,Moffat Beach - Battery Hill,4.6,11,12.8
