SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
104011082,Maclean - Yamba - Iluka,NA,NA,21.7
302021027,Aspley,NA,NA,21.7
602011052,Youngtown - Relbia,NA,NA,21.7
205021084,Lakes Entrance,NA,NA,21.7
319041519,Point Vernon,NA,NA,21.7
319011497,Bundaberg North - Gooburrum,NA,NA,21.7
601021011,Rokeby,NA,16,21.8
403011057,Glenelg (SA),6,16.1,21.8
112031254,Tweed Heads,7,16.7,21.8
113031266,Temora,NA,17.3,21.8
604011084,Wynyard,NA,17.5,21.8
801041047,Nicholls,NA,NA,21.8
107041148,Thirroul - Austinmer - Coalcliff,NA,NA,21.8
309061247,Highland Park,NA,NA,21.8
305031121,Ascot,NA,NA,21.8
109011175,Albury Region,NA,NA,21.8
107041145,Corrimal - Tarrawanna - Bellambi,NA,NA,21.8
108021155,Kempsey,NA,NA,21.8
505021094,Trigg - North Beach - Watermans Bay,NA,NA,21.8
403021060,Marino - Seaview Downs,NA,NA,21.8
208031190,Mentone,NA,NA,21.8
214011371,Frankston,NA,NA,21.8
316021423,Parrearra - Warana,NA,NA,21.8
203021042,Highton,NA,NA,21.8
507011154,Hamilton Hill,NA,NA,21.8
319031512,Gympie - North,NA,NA,21.8
217011420,Glenelg (Vic.),NA,NA,21.8
217011421,Hamilton (Vic.),NA,NA,21.8
601021005,Cambridge,NA,16.5,21.9
125041493,Toongabbie - Constitution Hill,NA,17,21.9
505021084,Balcatta - Hamersley,NA,17.1,21.9
601031020,New Norfolk,NA,17.4,21.9
301021013,Victoria Point,NA,17.6,21.9
120031390,Ashfield,NA,NA,21.9
303041070,Salisbury - Nathan,NA,NA,21.9
119031370,Narwee - Beverly Hills,NA,NA,21.9
303041068,Moorooka,NA,NA,21.9
404021102,The Parks,NA,NA,21.9
128011530,Miranda - Yowie Bay,NA,NA,21.9
301031016,Manly West,NA,NA,21.9
404031106,Lockleys,NA,NA,21.9
604021087,Latrobe,NA,NA,21.9
212011292,Pakenham - South,NA,NA,21.9
115011294,Glenhaven,NA,NA,21.9
201011002,Ballarat,NA,NA,21.9
108041162,Laurieton - Bonny Hills,NA,NA,21.9
403031068,Colonel Light Gardens,NA,15.8,22
110011186,Armidale,NA,16.7,22
407031159,Barmera,NA,16.7,22
602031061,Northern Midlands,NA,17,22
502011025,Mandurah,NA,17.6,22
309021231,Currumbin - Tugun,NA,NA,22
308051535,Gladstone Hinterland,NA,NA,22
507011159,South Lake - Cockburn Central,NA,NA,22
505031103,Madeley - Darch - Landsdale,NA,NA,22
407031170,Waikerie,NA,NA,22
214021379,Hastings - Somers,NA,NA,22
214021381,Mount Eliza,NA,NA,22
114021287,Moss Vale - Berrima,NA,NA,22
317011447,Drayton - Harristown,NA,NA,22
505031105,Mindarie - Quinns Rocks - Jindalee,NA,16.4,22.1
604021089,Port Sorell,6.9,16.6,22.1
505021088,Innaloo - Doubleview,NA,16.7,22.1
316021422,Moffat Beach - Battery Hill,NA,16.7,22.1
119031372,Peakhurst - Lugarno,NA,17.1,22.1
317011459,Wilsonton,NA,17.4,22.1
403021059,Hallett Cove,NA,NA,22.1
116021563,Quakers Hill,NA,NA,22.1
301011003,Birkdale,NA,NA,22.1
302031039,Nudgee - Banyo,NA,NA,22.1
208031193,Mordialloc - Parkdale,NA,NA,22.1
604021092,Turners Beach - Forth,NA,NA,22.1
208031185,Carrum - Patterson Lakes,NA,NA,22.1
128011602,Caringbah,NA,NA,22.1
308031208,Frenchville - Mount Archer,NA,NA,22.1
310021281,Lowood,NA,NA,22.1
311011305,Beaudesert,NA,NA,22.1
109021178,Wentworth - Buronga,NA,NA,22.1
101041019,Bega - Tathra,NA,NA,22.1
505031102,Girrawheen,NA,NA,22.1
204031072,Towong,NA,NA,22.1
212051325,Mulgrave,NA,NA,22.1
319021505,Kingaroy,NA,NA,22.1
203021041,Grovedale,NA,NA,22.1
121021403,Asquith - Mount Colah,NA,16,22.2
601051027,Hobart,NA,16,22.2
313051379,Redcliffe,NA,16.9,22.2
309091541,Southport - South,NA,17.2,22.2
505021086,Dianella,NA,17.3,22.2
214021383,Point Nepean,NA,17.5,22.2
125041489,North Parramatta,NA,NA,22.2
209011200,Ivanhoe,NA,NA,22.2
206011107,Brunswick West,NA,NA,22.2
211011259,Wantirna,NA,NA,22.2
126021591,Ryde,NA,NA,22.2
504031056,Ballajura,NA,NA,22.2
309021234,Palm Beach,NA,NA,22.2
504021053,Mundaring,NA,NA,22.2
118021565,Kingsford,NA,NA,22.2
128021608,Loftus - Yarrawarrah,NA,NA,22.2
507011152,Coogee,NA,NA,22.2
311021306,Beenleigh,NA,NA,22.2
504021050,Glen Forrest - Darlington,NA,NA,22.2
212011288,Bunyip - Garfield,NA,NA,22.2
407031164,Mannum,NA,NA,22.2
107041548,Wollongong - East,NA,NA,22.2
301021007,Cleveland,NA,NA,22.2
101041018,Batemans Bay - South,NA,NA,22.2
205021085,Orbost,NA,NA,22.2
211011447,Ferntree Gully (North),NA,NA,22.2
319041520,Torquay - Scarness - Kawungan,NA,NA,22.2
211031451,Croydon - West,NA,NA,22.2
115011554,Castle Hill - East,NA,NA,22.2
315021405,Mount Isa,3.4,16,22.3
507021166,Fremantle - South,NA,16.2,22.3
403041077,Flagstaff Hill,NA,16.4,22.3
119011359,Panania - Milperra - Picnic Point,NA,16.9,22.3
313051542,Scarborough - Newport - Moreton Island,NA,16.9,22.3
316021419,Caloundra - Kings Beach,NA,16.9,22.3
403021064,Warradale,NA,17,22.3
102011029,Box Head - MacMasters Beach,NA,17.1,22.3
506041136,Maddington - Orange Grove - Martin,NA,17.3,22.3
214021380,Mornington,NA,17.9,22.3
303061078,Runcorn,NA,NA,22.3
125011586,Lidcombe,NA,NA,22.3
303061080,Sunnybank Hills,NA,NA,22.3
213031347,Braybrook,NA,NA,22.3
206021111,Northcote,NA,NA,22.3
310011273,Forest Lake - Doolandella,NA,NA,22.3
209011201,Ivanhoe East - Eaglemont,NA,NA,22.3
119031373,Riverwood,NA,NA,22.3
402041048,Salisbury North,NA,NA,22.3
208021179,Elsternwick,NA,NA,22.3
128011529,Gymea - Grays Point,NA,NA,22.3
205011076,Drouin,NA,NA,22.3
105031100,Dubbo - East,NA,NA,22.3
208021427,Bentleigh East (South),NA,NA,22.3
507011160,Spearwood,NA,NA,22.3
205031093,Wonthaggi - Inverloch,NA,NA,22.3
319051522,Burrum - Fraser,NA,NA,22.3
212051321,Glen Waverley - East,NA,NA,22.3
801081095,Rivett,NA,NA,22.3
111021215,Bolton Point - Teralba,NA,NA,22.3
205021086,Paynesville,NA,NA,22.3
319011500,Millbank - Avoca,NA,NA,22.3
208021174,Bentleigh - McKinnon,NA,16.8,22.4
507041182,Murdoch - Kardinya,NA,17,22.4
207031162,Blackburn South,NA,17.2,22.4
302011024,Carseldine,NA,17.3,22.4
309091263,Ashmore,NA,17.3,22.4
302021028,Chermside,NA,17.6,22.4
104011080,Grafton,NA,17.6,22.4
207031165,Burwood,NA,17.9,22.4
502011028,Mandurah - South,NA,18.1,22.4
112021247,Kyogle,NA,NA,22.4
112021245,Casino Region,NA,NA,22.4
206031113,Ascot Vale,NA,NA,22.4
122031426,Dee Why - North Curl Curl,NA,NA,22.4
317011451,Lockyer Valley - West,NA,NA,22.4
309011225,Burleigh Heads,NA,NA,22.4
124031458,Castlereagh - Cranebrook,NA,NA,22.4
