SA2 Code,SA2 Label,Three or more chronic (%) All ages,Three or more chronic (%) 60 years and over,Three or more chronic (%) 70 years and over
125011473,Homebush Bay - Silverwater,3.4,14.9,20.2
309051245,Reedy Creek - Andrews,4.4,16.6,20.2
121021406,Normanhurst - Thornleigh - Westleigh,5.3,16.6,20.2
701011002,Darwin City,3.9,13,20.3
122031428,Frenchs Forest - Belrose,5.3,17,20.3
110011187,Armidale Region - North,8.5,18.1,20.3
214021378,Flinders,10.2,18.2,20.3
121011399,Chatswood (West) - Lane Cove North,4.2,15.7,20.4
401031011,Burnside - Wattle Park,6.2,16.7,20.4
401021004,Aldgate - Stirling,7,17,20.4
121021579,Waitara - Wahroonga (West),4.3,15.7,20.5
115011553,Castle Hill - Central,4.8,15.7,20.5
510021269,Port Hedland,5.1,16,20.5
122031427,Forestville - Killarney Heights,5.3,16.9,20.5
309031239,Paradise Point - Hollywell,8.4,17.2,20.5
306041165,Port Douglas,8.1,18.4,20.5
115011557,Castle Hill - West,3.5,12.4,20.6
115011556,Castle Hill - South,5,15.5,20.6
303041069,Robertson,4.7,16.6,20.6
505011072,Duncraig,5.9,16.7,20.6
401021010,Uraidla - Summertown,7,16.8,20.6
118011339,Bondi - Tamarama - Bronte,4.6,16.6,20.7
305031125,Hendra,5.4,16.8,20.7
121041416,Neutral Bay - Kirribilli,5.9,17.3,20.7
503021042,Subiaco - Shenton Park,6,17.4,20.7
128011605,Lilli Pilli - Port Hacking - Dolans Bay,5.2,16.1,20.8
208011170,Brighton East,5.8,16.8,20.8
122011419,Manly - Fairlight,5.3,17.4,20.8
201021012,Gordon (Vic.),8.4,18.8,20.8
115011559,Kellyville,3.7,14.8,20.9
507041180,Leeming,5.6,15.1,20.9
303031064,Rochedale - Burbank,4,16.1,20.9
305041133,Auchenflower,4.9,17.1,20.9
314011384,Dayboro,6.2,17.2,20.9
501031020,Pemberton,10.5,19,20.9
701021026,Rapid Creek,5.3,16,21
305021114,Bulimba,4.4,16.5,21
125041490,North Rocks,5.6,16.8,21
208041194,Malvern - Glen Iris,5.7,17.3,21
208011168,Beaumaris,6.6,17.3,21
509011226,Albany Region,9.5,18.7,21
509011229,Gnowangerup,8.9,18.8,21
305011111,Spring Hill,3.5,16.8,21.1
505011071,Currambine - Kinross,4.6,16.9,21.1
504031060,Gidgegannup,7.2,17,21.1
207011151,Hawthorn,5,17.4,21.1
211051282,Mount Dandenong - Olinda,7.9,18,21.1
206041122,Melbourne,2.9,18.2,21.1
309031240,Runaway Bay,9.3,18.5,21.1
309041242,Tamborine - Canungra,8.8,19,21.1
108011153,Forster-Tuncurry Region,11.5,20.8,21.1
121011401,St Leonards - Naremburn,4.1,15.9,21.2
304011084,Seventeen Mile Rocks - Sinnamon Park,4.9,15.9,21.2
121011398,Chatswood (East) - Artarmon,4.3,16.4,21.2
507041178,Booragoon,6.1,17.2,21.2
505031255,Alkimos - Eglinton,3,17.4,21.2
118011341,Bondi Junction - Waverly,5.1,17.6,21.2
316051544,Peregian Springs,6.2,19.5,21.2
801061129,Barton,5.9,14.9,21.3
207031167,Surrey Hills (East) - Mont Albert,5.6,16.9,21.3
506011116,Roleystone,7.4,18.4,21.3
401021005,Hahndorf - Echunga,8.1,18.5,21.3
109031183,Deniliquin Region,9.7,18.9,21.3
115041302,Rouse Hill - Beaumont Hills,3.6,15.6,21.4
305011108,Kangaroo Point,5.7,16.7,21.4
207011153,Kew,6,17.1,21.4
304041103,The Gap,6,17.5,21.4
212051321,Glen Waverley - East,6.1,18,21.4
308041529,Biloela,5.6,19.1,21.4
126021497,Eastwood - Denistone,5.1,15.9,21.5
506041133,Canning Vale - East,4,16.4,21.5
305031129,Wilston,4.5,17,21.5
305031122,Clayfield,5.2,17.3,21.5
115021297,Dural - Kenthurst - Wisemans Ferry,6.3,17.3,21.5
208011173,Sandringham - Black Rock,6.5,17.5,21.5
403031065,Belair,7.5,18,21.5
206041125,South Yarra - West,7.4,18.5,21.5
701021030,Wulagi,5.6,18.8,21.5
113021262,Tumut Region,9.6,19.2,21.5
113021260,Tumbarumba,10.3,19.7,21.5
213051464,Point Cook - East,3.4,16.3,21.6
305021118,Norman Park,4.3,16.7,21.6
118011340,Bondi Beach - North Bondi,4.3,16.9,21.6
207021159,Templestowe,6.7,17.3,21.6
120021387,Balmain,6,17.5,21.6
305031121,Ascot,6,17.5,21.6
505011079,Mullaloo - Kallaroo,6,17.5,21.6
115011294,Glenhaven,6.8,17.8,21.6
118021564,Kensington (NSW),4.3,17.9,21.6
117031329,Darlinghurst,5.4,18,21.6
316051434,Noosa Heads,9.7,18.5,21.6
701011005,Larrakeyah,4.6,15.3,21.7
128021609,Woronora Heights,5,15.3,21.7
125021476,Carlingford,5.4,17,21.7
121021403,Asquith - Mount Colah,5.4,17.1,21.7
505011074,Heathridge - Connolly,5.9,17.2,21.7
212051322,Glen Waverley - West,5.4,17.8,21.7
401031013,Toorak Gardens,7,17.9,21.7
401011002,North Adelaide,8.5,19,21.7
114021286,Mittagong,9.3,19.6,21.7
801091109,Phillip,5,20.2,21.7
101031015,Cooma Region,10.7,20.2,21.7
208021177,Caulfield - North,5.4,16.9,21.8
208021178,Caulfield - South,5.8,17,21.8
304031094,Indooroopilly,4.9,17.1,21.8
314011383,Cashmere,4.4,17.2,21.8
507041182,Murdoch - Kardinya,7,17.5,21.8
207011149,Camberwell,6,17.7,21.8
401061022,Walkerville,7.5,18.2,21.8
211031268,Ringwood North,6.7,18.3,21.8
122031425,Cromer,5.9,18.4,21.8
309041241,Guanaba - Springbrook,7.7,18.4,21.8
401021003,Adelaide Hills,8.4,19,21.8
509021236,Chittering,8.1,19.8,21.8
120031575,Strathfield,4.5,16.8,21.9
121021578,Hornsby - West,5.5,16.9,21.9
121021577,Hornsby - East,4.2,17.1,21.9
314011382,Albany Creek,6,18,21.9
505021096,Wembley Downs - Churchlands - Woodlands,6,18,21.9
209031214,Research - North Warrandyte,6.8,18,21.9
301021008,Ormiston,7.5,18.7,21.9
110011188,Armidale Region - South,9.5,19.5,21.9
108011151,Bulahdelah - Stroud,10.4,19.8,21.9
206061135,Armadale,6.2,17.7,22
128011604,Cronulla - Kurnell - Bundeena,6.8,18.2,22
507041181,Melville,6.2,18.3,22
304031097,Taringa,5.3,18.6,22
401021008,Mount Barker Region,7.8,19,22
201021011,Daylesford,10.4,19,22
701031034,Virginia,6.8,17.3,22.1
701031031,Howard Springs,7.5,17.4,22.1
207011155,Surrey Hills (West) - Canterbury,6,17.6,22.1
207011150,Glen Iris - East,5.7,17.7,22.1
302011023,Bridgeman Downs,6,17.7,22.1
207011152,Hawthorn East,5.3,18,22.1
208041195,Malvern East,5.3,18.1,22.1
308031220,Rockhampton Region - West,8.2,18.3,22.1
309071253,Hope Island,8.7,19.3,22.1
403031066,Bellevue Heights,7.7,19.5,22.1
801051127,Reid,8.7,20,22.1
319021507,Kingaroy Region - South,10.3,20.3,22.1
118021569,Randwick - North,4.7,17.3,22.2
305041137,Toowong,4.6,17.6,22.2
122031431,Narrabeen - Collaroy,5.9,18.1,22.2
505021089,Karrinyup - Gwelup - Carine,6.2,18.2,22.2
212051327,Wheelers Hill,7.2,18.4,22.2
301021012,Thornlands,5.7,18.5,22.2
214021381,Mount Eliza,7.4,19.1,22.2
509021242,Mukinbudin,10.5,21.1,22.2
604011076,Burnie - Ulverstone Region,10.3,21.5,22.2
503021041,Perth City,4.7,17.1,22.3
505011083,Woodvale,5.8,17.1,22.3
207011147,Balwyn,6.5,18.1,22.3
212051323,Mount Waverley - North,6.1,18.4,22.3
207011154,Kew East,5.9,18.6,22.3
309031235,Arundel,6.9,19,22.3
506051140,Kalamunda - Maida Vale - Gooseberry Hill,8.2,19.1,22.3
201021009,Bacchus Marsh Region,8.4,20.3,22.3
128021534,Illawong - Alfords Point,5.8,15.7,22.4
303051073,Calamvale - Stretton,4,15.9,22.4
128011606,Woolaware - Burraneer,5.8,17.3,22.4
303011051,Carindale,6,17.4,22.4
119031374,South Hurstville - Blakehurst,5.3,17.5,22.4
305031119,Albion,5.4,18.4,22.4
601051031,Sandy Bay,7.5,18.9,22.4
109021177,Hay,9.5,20,22.4
113031271,Wagga Wagga Region,8.6,20.4,22.4
313011363,Bribie Island,13.9,21.6,22.4
701041041,Palmerston - North,3.4,16.4,22.5
120031396,Homebush,3.5,17.4,22.5
510011262,Broome,5.7,17.7,22.5
801061069,Red Hill (ACT),6.6,17.7,22.5
503021043,Wembley - West Leederville - Glendalough,4.9,17.8,22.5
