SA2 Code,SA2 Label,Asthma (%) All ages,Asthma (%) 60 years and over,Asthma (%) 70 years and over
206041126,Southbank,5.6,8.6,8.8
125021476,Carlingford,7.1,8.6,8.8
505021086,Dianella,7.7,8.7,8.8
507041175,Applecross - Ardross,7.7,8.7,8.8
303031064,Rochedale - Burbank,7.3,8.8,8.8
127011505,Austral - Greendale,9.2,8.9,8.8
117011321,Botany,8,9,8.8
126021498,Gladesville - Huntleys Point,8,9,8.8
207011150,Glen Iris - East,8.4,9,8.8
117021327,Petersham - Stanmore,9,9,8.8
317011450,Highfields,9,9,8.8
121011398,Chatswood (East) - Artarmon,6.2,8.5,8.9
115011291,Baulkham Hills (West) - Bella Vista,7.8,8.6,8.9
506071146,Manning - Waterford,7.5,8.7,8.9
126021501,North Ryde - East Ryde,7.6,8.9,8.9
503021039,Mount Lawley - Inglewood,8.1,8.9,8.9
208011169,Brighton (Vic.),8.3,8.9,8.9
209011201,Ivanhoe East - Eaglemont,8.4,8.9,8.9
501011001,Augusta,8.6,8.9,8.9
208021182,Ormond - Glen Huntly,6.8,9,8.9
507041184,Winthrop,8.6,9,8.9
206051128,Albert Park,7.8,9.1,8.9
505011079,Mullaloo - Kallaroo,8.4,9.1,8.9
401021010,Uraidla - Summertown,9,9.1,8.9
107031140,Kiama Hinterland - Gerringong,9.3,9.1,8.9
124031463,Mulgoa - Luddenham - Orchard Hills,9.3,9.3,8.9
122011418,Balgowlah - Clontarf - Seaforth,8.3,9.5,8.9
509011232,Little Grove - Elleker,8.7,8.8,9
507011148,Banjup,7.9,9,9
505021096,Wembley Downs - Churchlands - Woodlands,8.1,9,9
117031329,Darlinghurst,7.3,9.1,9
505021095,Tuart Hill - Joondanna,7.5,9.2,9
209031214,Research - North Warrandyte,9.4,9.4,9
304041104,Upper Kedron - Ferny Grove,9.5,9.5,9
801011006,Dunlop,9,9.6,9
126021500,Macquarie Park - Marsfield,5.9,8.6,9.1
115041302,Rouse Hill - Beaumont Hills,8.2,8.7,9.1
507041179,Bull Creek,7.3,8.8,9.1
506041133,Canning Vale - East,7,8.9,9.1
207021156,Bulleen,8.3,8.9,9.1
125021478,Oatlands - Dundas Valley,7.2,9,9.1
208021174,Bentleigh - McKinnon,8,9,9.1
115021297,Dural - Kenthurst - Wisemans Ferry,8.8,9,9.1
304021086,Bellbowrie - Moggill,8.3,9.2,9.1
122031428,Frenchs Forest - Belrose,8.5,9.2,9.1
505021089,Karrinyup - Gwelup - Carine,8.6,9.2,9.1
314011387,Samford Valley,9.1,9.2,9.1
504021050,Glen Forrest - Darlington,9.1,9.2,9.1
304021088,Chapel Hill,8.3,9.3,9.1
208041194,Malvern - Glen Iris,8.4,9.3,9.1
213021346,Williamstown,8.7,9.3,9.1
505011075,Hillarys,8.7,9.3,9.1
506061144,Serpentine - Jarrahdale,8.8,9.3,9.1
701011004,Fannie Bay - The Gardens,8.1,9.4,9.1
207011146,Ashburton (Vic.),8.5,9.4,9.1
107031139,Kiama Downs - Minnamurra,9.5,9.4,9.1
126011495,Epping - North Epping,6.6,8.5,9.2
117031334,Pyrmont - Ultimo,5.8,8.7,9.2
127031523,Chipping Norton - Moorebank,7.7,8.9,9.2
114021289,Southern Highlands,9.1,9,9.2
125031481,Granville - Clyde,7.3,9.1,9.2
505021097,Yokine - Coolbinia - Menora,7.8,9.1,9.2
212041310,Clayton South,6.8,9.2,9.2
507041178,Booragoon,8.2,9.2,9.2
208011170,Brighton East,8.8,9.2,9.2
114021284,Bowral,9.1,9.2,9.2
304021090,Kenmore,8.3,9.3,9.2
208011168,Beaumaris,9,9.3,9.2
125021477,Ermington - Rydalmere,7.7,9.4,9.2
212041314,Keysborough,7.7,9.4,9.2
118021348,Coogee - Clovelly,8,9.4,9.2
309011224,Broadbeach Waters,8.7,9.4,9.2
206051130,Port Melbourne,8.3,9.5,9.2
401071023,Goodwood - Millswood,8.5,9.5,9.2
208031190,Mentone,8.6,9.5,9.2
208031193,Mordialloc - Parkdale,8.9,9.5,9.2
210011229,Keilor East,9.2,9.5,9.2
305021118,Norman Park,9,9.6,9.2
506051141,Lesmurdie - Bickley - Carmel,9.5,9.6,9.2
305041132,Ashgrove,9.2,9.7,9.2
314011385,Eatons Hill,9.6,9.7,9.2
506031129,Riverton - Shelley - Rossmoyne,7.1,8.9,9.3
119031372,Peakhurst - Lugarno,8.3,9,9.3
115011290,Baulkham Hills (East),7.6,9.1,9.3
122031427,Forestville - Killarney Heights,8.3,9.1,9.3
207021159,Templestowe,8.3,9.1,9.3
801091101,Farrer,8.8,9.1,9.3
504021053,Mundaring,9.2,9.2,9.3
117031333,Potts Point - Woolloomooloo,7.5,9.3,9.3
301031019,Wakerley,8.2,9.3,9.3
121011402,Willoughby - Castle Cove - Northbridge,8.5,9.3,9.3
121021404,Berowra - Brooklyn - Cowan,8.9,9.3,9.3
207011155,Surrey Hills (West) - Canterbury,8.3,9.4,9.3
401071024,Unley - Parkside,8.5,9.4,9.3
120021388,Leichhardt - Annandale,8.8,9.4,9.3
208011173,Sandringham - Black Rock,8.9,9.5,9.3
506051140,Kalamunda - Maida Vale - Gooseberry Hill,9.3,9.5,9.3
304031093,Corinda,8.7,9.6,9.3
304031092,Chelmer - Graceville,8.9,9.6,9.3
303041071,Tarragindi,9.1,9.6,9.3
214021382,Mount Martha,9.5,9.7,9.3
128021535,Menai - Lucas Heights - Woronora,9.7,9.7,9.3
121041414,Crows Nest - Waverton,7.5,9.1,9.4
122031426,Dee Why - North Curl Curl,7.4,9.3,9.4
503021043,Wembley - West Leederville - Glendalough,7.5,9.3,9.4
301011002,Belmont - Gumdale,8.7,9.3,9.4
206051133,St Kilda,7.5,9.5,9.4
401031012,Glenside - Beaumont,7.9,9.5,9.4
122031429,Freshwater - Brookvale,8.2,9.5,9.4
212041309,Clarinda - Oakleigh South,8.5,9.5,9.4
208011171,Cheltenham - Highett (West),8.8,9.5,9.4
505011072,Duncraig,8.8,9.5,9.4
801041047,Nicholls,9,9.5,9.4
309031239,Paradise Point - Hollywell,9.2,9.6,9.4
401021004,Aldgate - Stirling,9.5,9.6,9.4
123011434,Elderslie - Harrington Park,9.8,9.8,9.4
123031446,Douglas Park - Appin,8.8,8.9,9.5
506011113,Forrestdale - Harrisdale - Piara Waters,6.5,9,9.5
119011360,Revesby,8.1,9.2,9.5
120021389,Lilyfield - Rozelle,8.5,9.3,9.5
121021406,Normanhurst - Thornleigh - Westleigh,8.5,9.3,9.5
121041416,Neutral Bay - Kirribilli,7.6,9.4,9.5
208021181,Murrumbeena,7.7,9.4,9.5
601051031,Sandy Bay,8,9.4,9.5
207011148,Balwyn North,8.3,9.4,9.5
401061022,Walkerville,8.3,9.5,9.5
121021403,Asquith - Mount Colah,9,9.5,9.5
208031189,Edithvale - Aspendale,9.1,9.5,9.5
401031011,Burnside - Wattle Park,8.4,9.6,9.5
125041494,Winston Hills,8.7,9.6,9.5
507041181,Melville,9.2,9.6,9.5
309101267,Benowa,8.4,9.7,9.5
214021381,Mount Eliza,9.5,9.7,9.5
305011108,Kangaroo Point,7.7,9.8,9.5
305021114,Bulimba,8.6,9.8,9.5
208011172,Hampton,9.2,9.8,9.5
122011419,Manly - Fairlight,7.8,9.9,9.5
306011138,Brinsmead,9.9,10.2,9.5
121011399,Chatswood (West) - Lane Cove North,7.1,9.2,9.6
117031330,Erskineville - Alexandria,7.6,9.2,9.6
126011496,Pennant Hills - Cheltenham,8.1,9.2,9.6
207021157,Doncaster,7.5,9.3,9.6
125031485,Merrylands - Holroyd,7.5,9.4,9.6
119011359,Panania - Milperra - Picnic Point,8.5,9.5,9.6
304021087,Brookfield - Kenmore Hills,8.7,9.5,9.6
505011083,Woodvale,8.7,9.5,9.6
503011031,Claremont (WA),8.5,9.6,9.6
305031125,Hendra,8.8,9.6,9.6
114011272,Berry - Kangaroo Valley,9.5,9.6,9.6
305031128,Newstead - Bowen Hills,7.9,9.7,9.6
125031482,Greystanes - Pemulwuy,9.1,9.7,9.6
314011382,Albany Creek,9.5,9.7,9.6
209031211,Kinglake,10.2,9.7,9.6
127021514,Edensor Park,9.7,9.9,9.6
311031318,Munruben - Park Ridge South,10,9.9,9.6
127021517,Greenfield Park - Prairiewood,9.3,10,9.6
506061143,Mundijong,9.4,10,9.6
127021515,Fairfield,8.3,9.5,9.7
119011356,Condell Park,8.8,9.5,9.7
503021042,Subiaco - Shenton Park,7.9,9.6,9.7
126021499,Hunters Hill - Woolwich,8.8,9.6,9.7
211031268,Ringwood North,9.2,9.6,9.7
206061137,South Yarra - East,7.4,9.7,9.7
305031122,Clayfield,8.2,9.7,9.7
505011078,Kingsley,9,9.7,9.7
305011109,New Farm,8.4,10,9.7
127011595,Hinchinbrook,9.7,10.2,9.7
302011023,Bridgeman Downs,8.8,9.2,9.8
207021424,Doncaster East (North),8.1,9.4,9.8
801071084,Monash,9,9.5,9.8
128011531,Sylvania - Taren Point,8.6,9.6,9.8
213051466,Point Cook - South,8.2,9.8,9.8
122031424,Beacon Hill - Narraweena,8.9,9.8,9.8
128021536,Oyster Bay - Como - Jannali,9.5,9.9,9.8
309051243,Currumbin Valley - Tallebudgera,9.5,9.9,9.8
304041103,The Gap,9.7,10,9.8
213011329,Cairnlea,9.3,10.1,9.8
305041134,Bardon,9.3,10.1,9.8
207011154,Kew East,9.9,10.4,9.8
304011085,Westlake,9.9,10.4,9.8
303051073,Calamvale - Stretton,7.4,9.4,9.9
